"sampleName","cellLine","numberCells","technique","ip","patient","treatment","experimentName","biologicalReplicate","technicalReplicate","filePath","genome","readType","readLength","controlSampleName","controlSampleFilePath","peakFile"
"K562_10M_CHIP_CJUN_nan_nan_0_0_hg19","K562","10M","CHIP","CJUN",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_CJUN_nan_nan_0_0_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_CJUN_nan_nan_0_0_hg19/K562_10M_CHIP_CJUN_nan_nan_0_0_hg19_peaks.narrowPeak"
"K562_10M_CHIP_CJUN_nan_nan_1_1_hg19","K562","10M","CHIP","CJUN",,,"CM15-7",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_CJUN_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_1_1_hg19",,
"K562_10M_CHIP_CJUN_nan_nan_2_1_hg19","K562","10M","CHIP","CJUN",,,"CM22-8",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_CJUN_nan_nan_2_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_CJUN_nan_nan_2_1_hg19/K562_10M_CHIP_CJUN_nan_nan_2_1_hg19_peaks.narrowPeak"
"K562_10M_CM_CJUN_nan_nan_0_0_hg19","K562","10M","CM","CJUN",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_CJUN_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CM_CJUN_nan_nan_0_0_hg19/K562_10M_CM_CJUN_nan_nan_0_0_hg19_peaks.narrowPeak"
"K562_10M_CM_CJUN_nan_nan_1_1_hg19","K562","10M","CM","CJUN",,,"CM15-3",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_CJUN_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_1_1_hg19",,
"K562_10M_CM_CJUN_nan_nan_2_1_hg19","K562","10M","CM","CJUN",,,"CM22-3",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_CJUN_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_4_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_IGG_nan_nan_4_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CM_CJUN_nan_nan_2_1_hg19/K562_10M_CM_CJUN_nan_nan_2_1_hg19_peaks.narrowPeak"
"K562_2M_CM_CJUN_nan_nan_1_1_hg19","K562","2M","CM","CJUN",,,"CM13-2",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_2M_CM_CJUN_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,,,
"K562_500K_CHIP_CJUN_nan_nan_1_1_hg19","K562","500K","CHIP","CJUN",,,"CM15-6",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_CJUN_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_500K_CHIP_IGG_nan_nan_2_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_IGG_nan_nan_2_0_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CHIP_CJUN_nan_nan_1_1_hg19/K562_500K_CHIP_CJUN_nan_nan_1_1_hg19_peaks.narrowPeak"
"K562_500K_CM_CJUN_nan_nan_1_1_hg19","K562","500K","CM","CJUN",,,"ChIP15-2",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_CJUN_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CM_CJUN_nan_nan_1_1_hg19/K562_500K_CM_CJUN_nan_nan_1_1_hg19_peaks.narrowPeak"
"K562_100K_CM_CTCF_nan_nan_1_1_hg19","K562","100K","CM","CTCF",,,"CM26-2",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_100K_CM_CTCF_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_100K_CM_IGG_nan_nan_1_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_100K_CM_IGG_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_100K_CM_CTCF_nan_nan_1_1_hg19/K562_100K_CM_CTCF_nan_nan_1_1_hg19_peaks.narrowPeak"
"K562_10M_CHIP_CTCF_nan_nan_0_0_hg19","K562","10M","CHIP","CTCF",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_CTCF_nan_nan_0_0_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_CTCF_nan_nan_0_0_hg19/K562_10M_CHIP_CTCF_nan_nan_0_0_hg19_peaks.narrowPeak"
"K562_10M_CHIP_CTCF_nan_nan_1_1_hg19","K562","10M","CHIP","CTCF",,,"CM15-6",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_CTCF_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_1_1_hg19",,
"K562_10M_CHIP_CTCF_nan_nan_2_1_hg19","K562","10M","CHIP","CTCF",,,"CM16-4",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_CTCF_nan_nan_2_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_2_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_2_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_CTCF_nan_nan_2_1_hg19/K562_10M_CHIP_CTCF_nan_nan_2_1_hg19_peaks.narrowPeak"
"K562_10M_CM_CTCF_nan_nan_0_0_hg19","K562","10M","CM","CTCF",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_CTCF_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CM_CTCF_nan_nan_0_0_hg19/K562_10M_CM_CTCF_nan_nan_0_0_hg19_peaks.narrowPeak"
"K562_10M_CM_CTCF_nan_nan_1_1_hg19","K562","10M","CM","CTCF",,,"CM15-2",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_CTCF_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_1_1_hg19",,
"K562_10M_CM_CTCF_nan_nan_2_1_hg19","K562","10M","CM","CTCF",,,"CM16-2",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_CTCF_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_2_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_IGG_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CM_CTCF_nan_nan_2_1_hg19/K562_10M_CM_CTCF_nan_nan_2_1_hg19_peaks.narrowPeak"
"K562_500K_CHIP_CTCF_nan_nan_2_1_hg19","K562","500K","CHIP","CTCF",,,"CM15-7",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_CTCF_nan_nan_2_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_500K_CHIP_IGG_nan_nan_2_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_IGG_nan_nan_2_0_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CHIP_CTCF_nan_nan_2_1_hg19/K562_500K_CHIP_CTCF_nan_nan_2_1_hg19_peaks.narrowPeak"
"K562_500K_CM_CTCF_nan_nan_2_1_hg19","K562","500K","CM","CTCF",,,"ChIP15-1",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_CTCF_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CM_CTCF_nan_nan_2_1_hg19/K562_500K_CM_CTCF_nan_nan_2_1_hg19_peaks.narrowPeak"
"K562_500K_CM_CTCF_nan_nan_0_0_hg19","K562","500K","CM","CTCF",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_CTCF_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam",
"K562_500K_CM_CTCF_nan_nan_2_1_hg19","K562","500K","CM","CTCF",,,"ChIP15-1",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_CTCF_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam",
"K562_500K_CM_CTCF_nan_nan_1_1_hg19","K562","500K","CM","CTCF",,,"CM27-2",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_CTCF_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam",
"K562_100K_CM_FLI1_nan_nan_1_1_hg19","K562","100K","CM","FLI1",,,"CM26-5",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_100K_CM_FLI1_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_100K_CM_IGG_nan_nan_1_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_100K_CM_IGG_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_100K_CM_FLI1_nan_nan_1_1_hg19/K562_100K_CM_FLI1_nan_nan_1_1_hg19_peaks.narrowPeak"
"K562_10M_CHIP_GATA1_nan_nan_0_0_hg19","K562","10M","CHIP","GATA1",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_GATA1_nan_nan_0_0_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_GATA1_nan_nan_0_0_hg19/K562_10M_CHIP_GATA1_nan_nan_0_0_hg19_peaks.narrowPeak"
"K562_10M_CHIP_GATA1_nan_nan_1_0_hg19","K562","10M","CHIP","GATA1",,,,1,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_GATA1_nan_nan_1_0_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_1_1_hg19",,
"K562_10M_CHIP_GATA1_nan_nan_1_1_hg19","K562","10M","CHIP","GATA1",,,"CM21-4",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_GATA1_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_1_1_hg19",,
"K562_10M_CHIP_GATA1_nan_nan_1_2_hg19","K562","10M","CHIP","GATA1",,,"CM21-4",1,2,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_GATA1_nan_nan_1_2_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_1_1_hg19",,
"K562_10M_CHIP_GATA1_nan_nan_2_1_hg19","K562","10M","CHIP","GATA1",,,"CM23-4",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_GATA1_nan_nan_2_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_GATA1_nan_nan_2_1_hg19/K562_10M_CHIP_GATA1_nan_nan_2_1_hg19_peaks.narrowPeak"
"K562_10M_CM_GATA1_nan_nan_0_0_hg19","K562","10M","CM","GATA1",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_GATA1_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CM_GATA1_nan_nan_0_0_hg19/K562_10M_CM_GATA1_nan_nan_0_0_hg19_peaks.narrowPeak"
"K562_10M_CM_GATA1_nan_nan_1_0_hg19","K562","10M","CM","GATA1",,,,1,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_GATA1_nan_nan_1_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_1_1_hg19",,
"K562_10M_CM_GATA1_nan_nan_1_1_hg19","K562","10M","CM","GATA1",,,"CM21-1",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_GATA1_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_1_1_hg19",,
"K562_10M_CM_GATA1_nan_nan_1_2_hg19","K562","10M","CM","GATA1",,,"CM21-1",1,2,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_GATA1_nan_nan_1_2_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_1_1_hg19",,
"K562_10M_CM_GATA1_nan_nan_2_1_hg19","K562","10M","CM","GATA1",,,"CM23-1",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_GATA1_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_4_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_IGG_nan_nan_4_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CM_GATA1_nan_nan_2_1_hg19/K562_10M_CM_GATA1_nan_nan_2_1_hg19_peaks.narrowPeak"
"K562_100K_CM_GATA1_nan_nan_0_0_hg19","K562","100K","CM","GATA1",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_100K_CM_GATA1_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_100K_CM_IGG_nan_nan_1_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_100K_CM_IGG_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam",
"K562_100K_CM_GATA1_nan_nan_1_1_hg19","K562","100K","CM","GATA1",,,"CM26-11",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_100K_CM_GATA1_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_100K_CM_IGG_nan_nan_1_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_100K_CM_IGG_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam",
"K562_100K_CM_GATA1_nan_nan_2_1_hg19","K562","100K","CM","GATA1",,,"CM27-3",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_100K_CM_GATA1_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_100K_CM_IGG_nan_nan_1_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_100K_CM_IGG_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam",
"K562_10M_CHIP_GATA2_nan_nan_1_1_hg19","K562","10M","CHIP","GATA2",,,"CM22-6",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_GATA2_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_GATA2_nan_nan_1_1_hg19/K562_10M_CHIP_GATA2_nan_nan_1_1_hg19_peaks.narrowPeak"
"K562_10M_CM_GATA2_nan_nan_1_1_hg19","K562","10M","CM","GATA2",,,"CM22-1",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_GATA2_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_4_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_IGG_nan_nan_4_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CM_GATA2_nan_nan_1_1_hg19/K562_10M_CM_GATA2_nan_nan_1_1_hg19_peaks.narrowPeak"
"K562_10K_CM_H3K27AC_nan_nan_1_1_hg19","K562","10K","CM","H3K27AC",,,"CM13-5",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_H3K27AC_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10K_CM_IGG_nan_nan_5_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_IGG_nan_nan_5_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10K_CM_H3K27AC_nan_nan_1_1_hg19/K562_10K_CM_H3K27AC_nan_nan_1_1_hg19_peaks.narrowPeak"
"K562_10M_CHIP_H3K27AC_nan_nan_0_0_hg19","K562","10M","CHIP","H3K27AC",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_H3K27AC_nan_nan_1_0_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_1_1_hg19",,
"K562_10M_CHIP_H3K27AC_nan_nan_1_0_hg19","K562","10M","CHIP","H3K27AC",,,,1,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_H3K27AC_nan_nan_1_0_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_1_1_hg19",,
"K562_10M_CHIP_H3K27AC_nan_nan_1_1_hg19","K562","10M","CHIP","H3K27AC",,,"CM21-5",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_H3K27AC_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_1_1_hg19",,
"K562_10M_CHIP_H3K27AC_nan_nan_1_2_hg19","K562","10M","CHIP","H3K27AC",,,"CM21-5",1,2,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_H3K27AC_nan_nan_1_2_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_1_1_hg19",,
"K562_10M_CM_H3K27AC_nan_nan_1_0_hg19","K562","10M","CM","H3K27AC",,,,1,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_H3K27AC_nan_nan_1_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_1_1_hg19",,
"K562_10M_CM_H3K27AC_nan_nan_1_1_hg19","K562","10M","CM","H3K27AC",,,"CM21-2",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_H3K27AC_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_1_1_hg19",,
"K562_10M_CM_H3K27AC_nan_nan_1_2_hg19","K562","10M","CM","H3K27AC",,,"CM21-2",1,2,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_H3K27AC_nan_nan_1_2_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_1_1_hg19",,
